Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C4, C7",0805,4,100n,
"C2, C6, C8",CP_EIA-3216-18_Kemet-A,3,10u,
"C3, C9",CP_EIA-3216-18_Kemet-A,2,22u,
C5,0805,1,1u,
"D1, D2",0603,2,XGD10603MR,
J1,PinSocket_2x03_P2.54mm_Horizontal,1,L_SIG_CONN,
J2,PinSocket_2x03_P2.54mm_Horizontal,1,R_PWR_CONN,
J3,PinSocket_2x03_P2.54mm_Horizontal,1,R_SIG_CONN,
J4,PinSocket_2x03_P2.54mm_Horizontal,1,L_PWR_CONN,
L1,1812,1,5.6u,
PS1,CONV_RS3K-0524S_H3,1,RS3K-0524S_H3,
RV1,Potentiometer_Bourns_3339P_Vertical,1,10,
U1,SOT-223-3_TabPin2,1,AMS1117-3.3,
U2,SSOP-18_4.4x6.5mm_P0.65mm,1,TBD62783AFNG,
U3,TSSOP-16_4.4x5mm_P0.65mm,1,SN74HC595PWR,
U4,SOT-223-3_TabPin2,1,AMS1117-1.5,
"VFD1, VFD2",PinSocket_1x12_P2.54mm_Vertical,2,IV-22,
