Designator,Mid X,Mid Y,Rotation,Layer
BT1,128.93,-106.7,90.0,bottom
C1,135.618322,-88.0,270.0,bottom
C10,132.93,-102.58,0.0,top
C11,131.13,-95.18,180.0,top
C12,172.1925,-112.1,90.0,top
C13,179.6925,-112.1,90.0,top
C14,129.13,-90.48,270.0,bottom
C15,146.96,-89.3475,90.0,bottom
C16,149.06,-89.3475,270.0,bottom
C17,181.9,-103.7625,180.0,bottom
C18,182.0,-100.1625,90.0,bottom
C19,184.9,-100.1625,270.0,bottom
C2,137.7,-88.625504,90.0,bottom
C20,185.6,-103.7625,0.0,bottom
C3,135.63,-92.28,270.0,bottom
C4,137.63,-92.28,270.0,bottom
C5,172.5,-103.75,180.0,bottom
C6,172.3,-100.15,90.0,bottom
C7,175.2,-100.15,270.0,bottom
C8,176.2,-103.75,0.0,bottom
C9,129.33,-102.58,180.0,top
D1,144.73,-127.58,0.0,top
D2,147.83,-127.58,0.0,top
D3,130.3,-90.355,270.0,top
D4,160.53,-88.68,180.0,top
D5,164.03,-88.68,180.0,top
D6,123.98,-81.18,270.0,bottom
D7,133.59,-81.18,270.0,bottom
D8,164.22,-81.18,270.0,bottom
D9,173.83,-81.18,270.0,bottom
F1,162.43,-106.28,180.0,bottom
J1,183.83,-83.28,0.0,top
J2,114.31,-119.3,180.0,top
J3,114.31,-128.05,180.0,top
J4,164.43,-102.6,0.0,top
J5,183.35,-119.3,0.0,top
J6,183.35,-128.05,0.0,top
J7,171.5,-91.1,90.0,top
J8,168.78,-125.33,270.0,bottom
J9,128.84,-125.33,270.0,bottom
L1,175.9,-112.1,180.0,top
PS1,175.67,-108.68,0.0,bottom
R1,137.43,-97.18,270.0,top
R10,162.53,-98.8,0.0,top
R11,133.63,-92.28,90.0,bottom
R12,133.548322,-88.63,90.0,bottom
R13,123.995,-84.78,90.0,bottom
R14,133.605,-84.78,90.0,bottom
R15,160.53,-90.48,180.0,top
R16,164.03,-90.48,180.0,top
R18,164.22,-84.78,90.0,bottom
R19,173.83,-84.78,90.0,bottom
R2,137.43,-100.58,90.0,top
R7,162.53,-96.8,0.0,top
R8,166.23,-96.8,0.0,top
R9,166.23,-98.8,180.0,top
RV1,185.075,-91.115,180.0,top
SW1,134.63,-92.28,0.0,top
SW2,134.63,-88.48,0.0,top
SW3,123.975,-83.375,0.0,top
SW4,133.585,-83.375,0.0,top
SW5,164.235,-83.375,0.0,top
SW6,173.845,-83.375,0.0,top
U1,158.43,-116.68,180.0,top
U10,183.7675,-100.4,90.0,top
U2,148.93,-93.58,0.0,top
U3,162.43,-110.2,270.0,bottom
U4,148.79,-116.68,180.0,top
U5,140.03,-116.68,0.0,top
U6,174.3,-100.4,90.0,top
U7,131.13,-98.88,270.0,top
U8,126.43,-90.48,180.0,bottom
U9,143.765,-88.0975,180.0,bottom
VFD1,148.81,-125.08,270.0,bottom
VFD2,148.81,-130.08,270.0,bottom
